time;model_id;model_name;port_name;data
10.8;6;noise;noise_out;-9.06795
10.8;6;noise;;{value: -12.9926, sigma: 0.1}
10.8;1;electrode;;{input: -9.06795, threshold: 25, sigma: inf}
10.8;5;adder;sum_out;-9.06795
10.8;5;adder;;{noise: -9.06795, n1: 0, n2: 0, sum: -9.06795, sigma: inf}
10.9;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.2}
10.9;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.3}
10.9;5;adder;;{noise: -12.9926, n1: 0, n2: 0, sum: -12.9926, sigma: 0}
10.9;6;noise;noise_out;-12.9926
10.9;6;noise;;{value: 8.29796, sigma: 0.1}
10.9;1;electrode;;{input: -12.9926, threshold: 25, sigma: inf}
10.9;5;adder;sum_out;-12.9926
10.9;5;adder;;{noise: -12.9926, n1: 0, n2: 0, sum: -12.9926, sigma: inf}
11;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.1}
11;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.2}
11;5;adder;;{noise: 8.29796, n1: 0, n2: 0, sum: 8.29796, sigma: 0}
11;6;noise;noise_out;8.29796
11;6;noise;;{value: 4.26408, sigma: 0.1}
11;1;electrode;;{input: 8.29796, threshold: 25, sigma: inf}
11;5;adder;sum_out;8.29796
11;5;adder;;{noise: 8.29796, n1: 0, n2: 0, sum: 8.29796, sigma: inf}
11.1;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
11.1;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.1}
11.1;5;adder;;{noise: 4.26408, n1: 0, n2: 0, sum: 4.26408, sigma: 0}
11.1;6;noise;noise_out;4.26408
11.1;6;noise;;{value: -11.6994, sigma: 0.1}
11.1;1;electrode;;{input: 4.26408, threshold: 25, sigma: inf}
11.1;5;adder;sum_out;4.26408
11.1;5;adder;;{noise: 4.26408, n1: 0, n2: 0, sum: 4.26408, sigma: inf}
11.2;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
11.2;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
11.2;5;adder;;{noise: -11.6994, n1: 0, n2: 0, sum: -11.6994, sigma: 0}
11.2;6;noise;noise_out;-11.6994
11.2;6;noise;;{value: 11.7572, sigma: 0.1}
11.2;1;electrode;;{input: -11.6994, threshold: 25, sigma: inf}
11.2;5;adder;sum_out;-11.6994
11.2;5;adder;;{noise: -11.6994, n1: 0, n2: 0, sum: -11.6994, sigma: inf}
11.3;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
11.3;4;neuron1;;{emit_spike: 1, V: 30, sigma: 0.1, refractory: 2}
11.3;5;adder;;{noise: 11.7572, n1: 0, n2: 0, sum: 11.7572, sigma: 0}
11.3;6;noise;noise_out;11.7572
11.3;6;noise;;{value: 4.11531, sigma: 0.1}
11.3;1;electrode;;{input: 11.7572, threshold: 25, sigma: inf}
11.3;5;adder;sum_out;11.7572
11.3;5;adder;;{noise: 11.7572, n1: 0, n2: 0, sum: 11.7572, sigma: inf}
11.4;3;neuron2;;{emit_spike: 1, V: 30, sigma: 0.1, refractory: 2}
11.4;4;neuron1;potential_out;30
11.4;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.9}
11.4;5;adder;;{noise: 4.11531, n1: 30, n2: 0, sum: 31.1153, sigma: 0}
11.4;6;noise;noise_out;4.11531
11.4;6;noise;;{value: 7.70049, sigma: 0.1}
11.4;1;electrode;;{input: 31.1153, threshold: 25, sigma: 0}
11.4;5;adder;sum_out;31.1153
11.4;5;adder;;{noise: 4.11531, n1: 30, n2: 0, sum: 31.1153, sigma: inf}
11.4;1;electrode;spike_out;1
11.4;1;electrode;;{input: 31.1153, threshold: 25, sigma: inf}
11.5;3;neuron2;potential_out;30
11.5;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.9}
11.5;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.8}
11.5;5;adder;;{noise: 7.70049, n1: 0, n2: 30, sum: 30.2005, sigma: 0}
11.5;6;noise;noise_out;7.70049
11.5;6;noise;;{value: 10.0415, sigma: 0.1}
11.5;1;electrode;;{input: 30.2005, threshold: 25, sigma: 0}
11.5;5;adder;sum_out;30.2005
11.5;5;adder;;{noise: 7.70049, n1: 0, n2: 30, sum: 30.2005, sigma: inf}
11.5;1;electrode;spike_out;1
11.5;1;electrode;;{input: 30.2005, threshold: 25, sigma: inf}
11.6;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.8}
